"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Azerbaiyán","AZE","Población de 65 años de edad y más, total","SP.POP.65UP.TO","209727","213363","218047","223461","229169","234951","241732","248967","256287","263036","268899","275029","279296","282481","285763","289721","295211","301356","307187","311078","312294","314106","313616","311880","310296","309732","311873","314386","318326","325278","332274","345476","361412","378622","394581","408327","422802","435054","446347","458067","470835","491712","513060","532306","546095","552676","554431","550178","547189","542747","534046","533784","534185","536403","542454","553690","570804","593501",
"Burundi","BDI","Población de 65 años de edad y más, total","SP.POP.65UP.TO","82128","84411","86474","88371","90199","91976","94778","97534","100079","102177","103736","107806","111403","114709","117911","121078","123647","126282","128987","131705","134325","137752","141132","144386","147454","150364","154153","157811","161292","164521","167415","170369","172733","174495","175651","176252","180517","184288","187715","190983","194172","197705","201539","205538","209459","213113","217436","221651","225696","229475","233069","236482","239609","243179","248176","255235","266016","278380",
"Bélgica","BEL","Población de 65 años de edad y más, total","SP.POP.65UP.TO","1086878","1104082","1122246","1144592","1169183","1193354","1220249","1245060","1266569","1284567","1297673","1318383","1337300","1351928","1364950","1376738","1395158","1412507","1425885","1430449","1424173","1417155","1398551","1376154","1360100","1356466","1371757","1397817","1432671","1466699","1494260","1525771","1552481","1575186","1595483","1614690","1639761","1664882","1688391","1709963","1729026","1749584","1769109","1785372","1798968","1811864","1826375","1837692","1848752","1863976","1888644","1926098","1958038","1989556","2015494","2045400","2081424","2111895",
"Benin","BEN","Población de 65 años de edad y más, total","SP.POP.65UP.TO","122101","122909","123214","123013","122341","121221","124635","127777","130649","133226","135503","138994","142206","145116","147683","149880","152987","155714","158120","160239","162100","164771","167206","169377","171255","172840","175873","178689","181375","184023","186704","190377","194143","197949","201716","205418","209207","212768","216242","219820","223645","228806","234015","239460","245385","251923","260803","270072","279457","288533","297126","306226","314861","323346","332085","341362","351797","362586",
"Burkina Faso","BFA","Población de 65 años de edad y más, total","SP.POP.65UP.TO","112601","117133","121236","124933","128272","131303","136947","142254","147169","151650","155697","162080","168076","173678","178868","183632","191136","198141","204699","210887","216755","225252","233680","241917","249793","257209","264811","271873","278352","284160","289258","294660","299155","302842","305754","307953","311807","314859","317280","319258","320945","326145","330967","335522","339971","344384","352985","361488","369784","377679","385123","395809","406148","416228","426157","436081","449333","462297",
"Bangladesh","BGD","Población de 65 años de edad y más, total","SP.POP.65UP.TO","1292873","1332229","1370574","1407711","1443838","1479941","1548716","1615747","1678380","1734588","1784454","1863597","1936386","2006392","2077453","2152529","2228143","2299747","2366324","2427858","2484882","2560427","2630105","2692916","2748220","2796936","2904109","3009866","3113672","3215454","3315924","3454263","3590459","3725763","3861396","3999155","4202545","4406752","4613346","4824144","5040436","5261098","5476841","5689070","5900026","6110847","6346075","6568267","6775056","6964123","7135083","7371925","7598758","7807321","7983591","8121573","8273829","8395237",
"Bulgaria","BGR","Población de 65 años de edad y más, total","SP.POP.65UP.TO","595968","611889","629268","648185","668802","690524","713590","737192","762291","789092","816504","843455","869197","894964","921963","947431","974993","1004030","1026474","1041660","1049865","1048648","1037190","1022139","1013547","1014868","1037473","1070925","1109374","1133131","1145891","1172015","1194021","1217070","1244464","1269714","1294915","1316433","1333612","1347147","1355647","1349773","1335502","1335221","1332809","1329141","1329315","1328526","1328578","1332282","1340310","1357142","1378938","1402715","1424441","1441087","1459375","1471871",
"Bahrein","BHR","Población de 65 años de edad y más, total","SP.POP.65UP.TO","4859","4756","4561","4265","3858","3346","3594","3893","4263","4727","5313","5464","5669","5910","6160","6413","6591","6760","6936","7153","7427","8254","9048","9793","10458","11051","10976","10902","10838","10803","10823","11464","12087","12643","13111","13533","14135","14725","15243","15744","16304","16666","17213","17953","18863","19920","20880","22054","23326","24584","25807","27396","28632","29646","30671","31887","33391","35404",
"Bahamas","BHS","Población de 65 años de edad y más, total","SP.POP.65UP.TO","4138","4245","4366","4508","4669","4832","4992","5161","5345","5537","5732","6028","6266","6482","6709","6956","7266","7624","8021","8404","8745","9054","9289","9474","9657","9859","10049","10276","10528","10787","11066","11441","11822","12205","12598","13019","13531","14057","14625","15245","15941","16763","17637","18533","19459","20474","21372","22289","23199","24125","25083","26287","27625","29054","30558","32131","33823","35566",
"Bosnia y Herzegovina","BIH","Población de 65 años de edad y más, total","SP.POP.65UP.TO","111050","116293","122271","128704","135164","141419","147562","153119","158337","163591","169186","178409","187515","196147","203935","210660","218901","226751","233736","239000","242162","242870","241545","239498","238557","239750","247178","256991","268675","281257","293910","307968","320083","330832","341553","353552","362014","371940","383651","397330","412655","433083","456021","478879","497613","510002","518871","520937","519004","517345","518369","522324","528187","535865","545012","555749","567393","581079",
"Belarús","BLR","Población de 65 años de edad y más, total","SP.POP.65UP.TO","685786","687705","689985","693522","699453","708408","727251","748935","772333","795594","817312","844317","868396","891269","914890","939621","963981","990870","1016332","1033076","1039031","1037158","1025506","1010003","998887","996797","1005619","1020976","1038536","1061811","1089483","1124601","1166460","1209610","1244210","1268688","1295961","1311856","1321281","1332257","1346805","1371617","1397549","1419585","1429991","1424022","1414965","1394553","1368080","1344273","1327314","1324221","1327529","1336115","1347411","1360369","1383876","1407096",
"Belice","BLZ","Población de 65 años de edad y más, total","SP.POP.65UP.TO","3819","3958","4097","4241","4376","4509","4672","4824","4971","5107","5245","5432","5596","5758","5916","6080","6188","6289","6375","6439","6474","6583","6679","6755","6830","6898","7032","7181","7359","7544","7746","8013","8299","8624","8984","9368","9390","9426","9492","9577","9664","9697","9703","9665","9597","9484","9931","10413","10949","11565","12288","12494","12704","12935","13201","13518","13956","14435",
"Bermudas","BMU","Población de 65 años de edad y más, total","SP.POP.65UP.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Población de 65 años de edad y más, total","SP.POP.65UP.TO","169738","170503","170501","169976","169286","168570","169690","170669","171561","172363","173079","175842","178406","180839","183224","185595","191245","196894","202421","207627","212415","219720","226931","234229","241787","249706","259044","268719","278967","290053","302094","313482","325455","337826","350291","362671","374673","386615","398537","410424","422320","435081","447875","461201","475750","491927","509781","529069","549329","569827","590260","609657","628685","648234","669548","693402","716299","740878",
"Brasil","BRA","Población de 65 años de edad y más, total","SP.POP.65UP.TO","2274892","2377892","2484301","2591199","2694547","2792521","2891461","2987160","3082221","3180002","3283055","3404034","3525594","3648779","3774712","3903873","4040739","4175928","4308691","4437156","4560914","4691871","4817448","4940112","5063533","5191111","5352672","5514571","5680012","5853375","6037609","6291020","6548934","6806437","7055531","7292678","7605493","7907561","8210631","8531143","8878745","9280107","9712231","10161594","10607511","11040636","11472602","11890872","12312707","12761889","13253009","13811826","14400646","15024339","15687812","16395455","17125821","17899128",
"Barbados","BRB","Población de 65 años de edad y más, total","SP.POP.65UP.TO","15730","15971","16166","16357","16598","16922","17381","17934","18544","19149","19722","20344","21098","22061","23202","24379","24923","25374","25790","26188","26547","26788","26851","26781","26651","26481","26447","26395","26335","26284","26261","26618","27028","27456","27880","28289","28784","29301","29849","30449","31105","31336","31540","31732","31920","32115","32503","32929","33438","34069","34850","35711","36692","37799","38992","40256","41466","42721",
"Brunei Darussalam","BRN","Población de 65 años de edad y más, total","SP.POP.65UP.TO","3220","3344","3453","3563","3682","3817","3939","4078","4243","4428","4627","4828","5025","5226","5451","5695","5771","5810","5796","5713","5548","5720","5880","6022","6169","6338","6473","6602","6715","6797","6839","7017","7198","7394","7622","7893","7918","7941","7968","7990","7993","8566","9129","9681","10249","10857","11472","12025","12494","12890","13223","13768","14392","15129","16023","17099","18301","19680",
"Bhután","BTN","Población de 65 años de edad y más, total","SP.POP.65UP.TO","5268","5425","5577","5720","5850","5968","6190","6403","6608","6805","6993","7271","7544","7812","8074","8341","8694","9047","9395","9739","10070","10496","10908","11316","11738","12187","12809","13460","14080","14614","15017","15445","15687","15804","15910","16073","16668","17421","18293","19230","20181","21090","22021","22977","23932","24875","25990","27069","28133","29228","30367","31608","32915","34258","35572","36846","38188","39449",
"Botswana","BWA","Población de 65 años de edad y más, total","SP.POP.65UP.TO","20854","20967","20905","20754","20650","20644","20949","21325","21717","22013","22184","22497","22719","22874","22987","23065","23355","23618","23896","24217","24615","25284","25981","26747","27651","28725","30105","31662","33286","34817","36185","37644","38900","40070","41321","42726","44325","45991","47699","49403","51089","53049","54960","56827","58655","60434","62527","64637","66734","68759","70694","72738","74671","76716","79201","82314","86040","90321",
"República Centroafricana","CAF","Población de 65 años de edad y más, total","SP.POP.65UP.TO","64593","65668","66732","67689","68459","68980","70560","71939","73134","74139","74965","76915","78686","80311","81836","83274","85515","87710","89883","92013","94102","96640","99131","101523","103775","105863","108578","111002","113251","115509","117887","120799","123792","126775","129596","132163","135466","138305","140759","142892","144748","147630","150082","152115","153743","154983","157885","160423","162360","163378","163326","165255","166080","166221","166210","166382","168095","170283",
"Canadá","CAN","Población de 65 años de edad y más, total","SP.POP.65UP.TO","1375393","1403623","1430324","1458238","1488543","1520644","1553963","1590647","1628639","1665626","1705627","1751545","1797774","1847242","1903772","1969372","2035969","2105214","2174070","2242123","2314809","2386072","2453866","2517322","2585087","2659807","2734153","2823040","2916198","3025859","3127122","3216443","3297637","3372257","3442599","3510332","3584767","3660937","3731498","3799515","3867867","3940536","4005548","4075539","4152508","4239455","4324042","4423067","4538041","4671944","4824118","4978848","5165252","5369359","5581687","5786127","6010039","6234629",
"Europa Central y del Báltico","CEB","Población de 65 años de edad y más, total","SP.POP.65UP.TO","6594481","6826616","7076728","7348113","7632919","7911606","8210773","8508040","8794735","9080729","9364525","9655901","9970137","10285795","10600204","10910769","11241111","11555205","11812045","11956437","11974370","11886137","11671879","11409671","11208202","11131294","11276663","11511067","11797147","12054710","12268703","12516508","12765908","13041694","13285093","13507272","13773955","14043613","14262997","14480016","14597475","14803561","14970472","15161476","15312292","15410656","15529728","15575207","15602059","15685772","15806399","16027073","16329245","16682943","17065631","17459857","17916368","18370310",
"Suiza","CHE","Población de 65 años de edad y más, total","SP.POP.65UP.TO","542594","556280","573407","588693","601529","611832","627321","644484","662285","679658","694680","713244","733304","753094","771408","785252","801577","819131","838303","856531","873023","883473","890247","893595","897297","904548","915405","929735","946144","962151","977993","995447","1008927","1018563","1026452","1033380","1046743","1058474","1070961","1084879","1099008","1113437","1128350","1143178","1158812","1176118","1196060","1221269","1253498","1288128","1322743","1353734","1386349","1421722","1457690","1490548","1526547","1560790",
"Islas del Canal","CHI","Población de 65 años de edad y más, total","SP.POP.65UP.TO","14407","14591","14817","15073","15336","15608","15847","16101","16351","16606","16871","17192","17481","17740","17974","18177","18530","18808","19007","19137","19238","19395","19521","19634","19741","19858","20038","20214","20367","20479","20533","20691","20801","20866","20900","20923","21034","21105","21149","21216","21304","21682","22045","22360","22639","22968","23456","23970","24450","24871","25285","25809","26379","26992","27636","28319","29037","29780",
"Chile","CHL","Población de 65 años de edad y más, total","SP.POP.65UP.TO","369724","383329","396034","408001","419518","430728","442794","454105","464970","475777","486798","501587","516574","531316","545147","557786","574200","589188","603292","617204","631315","648944","666494","684088","701742","719559","739811","760091","780829","802740","826312","852904","881101","910485","940356","970451","1004375","1038154","1071974","1105976","1140368","1174789","1208797","1243845","1281829","1324014","1368040","1415492","1465629","1517183","1569676","1620606","1672098","1725998","1784961","1850737","1923630","2001642",
